ci;ei;mi;mi2-5;data_type;id_sample;ab_unident;id_level_1;id_level_2;id_level_3;nematods_si;ab_omnivores;ab_predators;country_code;ab_fungivores;ab_herbivores;main_prog_name;precision_date;ab_bacterivores;additional_name;id_sampling_point;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;total_nem_biomass;ab_Total_nematodes;date_sample_collection;nematode_family_richness;nematode_genera_richness
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-172_B-NA_P-NA_Data Microfauna;;172;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-172_B-NA_P-NA;F;B;P;;625;NULL;;
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-173_B-NA_P-NA_Data Microfauna;;173;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-173_B-NA_P-NA;F;B;P;;285;NULL;;
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-174_B-NA_P-NA_Data Microfauna;;174;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-174_B-NA_P-NA;F;B;P;;455;NULL;;
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-175_B-NA_P-NA_Data Microfauna;;175;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-175_B-NA_P-NA;F;B;P;;205;NULL;;
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-176_B-NA_P-NA_Data Microfauna;;176;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-176_B-NA_P-NA;F;B;P;;395;NULL;;
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-177_B-NA_P-NA_Data Microfauna;;177;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-177_B-NA_P-NA;F;B;P;;415;NULL;;
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-178_B-NA_P-NA_Data Microfauna;;178;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-178_B-NA_P-NA;F;B;P;;415;NULL;;
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-179_B-NA_P-NA_Data Microfauna;;179;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-179_B-NA_P-NA;F;B;P;;975;NULL;;
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-180_B-NA_P-NA_Data Microfauna;;180;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-180_B-NA_P-NA;F;B;P;;410;NULL;;
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-181_B-NA_P-NA_Data Microfauna;;181;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-181_B-NA_P-NA;F;B;P;;285;NULL;;
;;;NULL;Data Microfauna;1975-08-01-M_GB_Ordnance survey_F-182_B-NA_P-NA_Data Microfauna;;182;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-08-01-M_GB_Ordnance survey_F-182_B-NA_P-NA;F;B;P;;345;NULL;;
;;;NULL;Data Microfauna;1975-11-01-M_GB_Ordnance survey_F-183_B-NA_P-NA_Data Microfauna;;183;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-11-01-M_GB_Ordnance survey_F-183_B-NA_P-NA;F;B;P;;880;NULL;;
;;;NULL;Data Microfauna;1975-11-01-M_GB_Ordnance survey_F-184_B-NA_P-NA_Data Microfauna;;184;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-11-01-M_GB_Ordnance survey_F-184_B-NA_P-NA;F;B;P;;395;NULL;;
;;;NULL;Data Microfauna;1975-11-01-M_GB_Ordnance survey_F-185_B-NA_P-NA_Data Microfauna;;185;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-11-01-M_GB_Ordnance survey_F-185_B-NA_P-NA;F;B;P;;245;NULL;;
;;;NULL;Data Microfauna;1975-11-01-M_GB_Ordnance survey_F-186_B-NA_P-NA_Data Microfauna;;186;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-11-01-M_GB_Ordnance survey_F-186_B-NA_P-NA;F;B;P;;325;NULL;;
;;;NULL;Data Microfauna;1975-11-01-M_GB_Ordnance survey_F-187_B-NA_P-NA_Data Microfauna;;187;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-11-01-M_GB_Ordnance survey_F-187_B-NA_P-NA;F;B;P;;455;NULL;;
;;;NULL;Data Microfauna;1975-11-01-M_GB_Ordnance survey_F-188_B-NA_P-NA_Data Microfauna;;188;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-11-01-M_GB_Ordnance survey_F-188_B-NA_P-NA;F;B;P;;665;NULL;;
;;;NULL;Data Microfauna;1975-11-01-M_GB_Ordnance survey_F-189_B-NA_P-NA_Data Microfauna;;189;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-11-01-M_GB_Ordnance survey_F-189_B-NA_P-NA;F;B;P;;345;NULL;;
;;;NULL;Data Microfauna;1975-11-01-M_GB_Ordnance survey_F-190_B-NA_P-NA_Data Microfauna;;190;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-11-01-M_GB_Ordnance survey_F-190_B-NA_P-NA;F;B;P;;155;NULL;;
;;;NULL;Data Microfauna;1975-11-01-M_GB_Ordnance survey_F-191_B-NA_P-NA_Data Microfauna;;191;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-11-01-M_GB_Ordnance survey_F-191_B-NA_P-NA;F;B;P;;260;NULL;;
;;;NULL;Data Microfauna;1975-11-01-M_GB_Ordnance survey_F-192_B-NA_P-NA_Data Microfauna;;192;NA;NA;;;;GB;;;ordnance_survey;M;;;1975-11-01-M_GB_Ordnance survey_F-192_B-NA_P-NA;F;B;P;;360;NULL;;
;;;NULL;Data Microfauna;1976-03-01-M_GB_Ordnance survey_F-193_B-NA_P-NA_Data Microfauna;;193;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-03-01-M_GB_Ordnance survey_F-193_B-NA_P-NA;F;B;P;;245;NULL;;
;;;NULL;Data Microfauna;1976-03-01-M_GB_Ordnance survey_F-194_B-NA_P-NA_Data Microfauna;;194;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-03-01-M_GB_Ordnance survey_F-194_B-NA_P-NA;F;B;P;;260;NULL;;
;;;NULL;Data Microfauna;1976-03-01-M_GB_Ordnance survey_F-195_B-NA_P-NA_Data Microfauna;;195;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-03-01-M_GB_Ordnance survey_F-195_B-NA_P-NA;F;B;P;;415;NULL;;
;;;NULL;Data Microfauna;1976-03-01-M_GB_Ordnance survey_F-196_B-NA_P-NA_Data Microfauna;;196;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-03-01-M_GB_Ordnance survey_F-196_B-NA_P-NA;F;B;P;;495;NULL;;
;;;NULL;Data Microfauna;1976-03-01-M_GB_Ordnance survey_F-197_B-NA_P-NA_Data Microfauna;;197;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-03-01-M_GB_Ordnance survey_F-197_B-NA_P-NA;F;B;P;;825;NULL;;
;;;NULL;Data Microfauna;1976-03-01-M_GB_Ordnance survey_F-198_B-NA_P-NA_Data Microfauna;;198;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-03-01-M_GB_Ordnance survey_F-198_B-NA_P-NA;F;B;P;;285;NULL;;
;;;NULL;Data Microfauna;1976-03-01-M_GB_Ordnance survey_F-199_B-NA_P-NA_Data Microfauna;;199;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-03-01-M_GB_Ordnance survey_F-199_B-NA_P-NA;F;B;P;;675;NULL;;
;;;NULL;Data Microfauna;1976-06-01-M_GB_Ordnance survey_F-200_B-NA_P-NA_Data Microfauna;;200;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-06-01-M_GB_Ordnance survey_F-200_B-NA_P-NA;F;B;P;;395;NULL;;
;;;NULL;Data Microfauna;1976-06-01-M_GB_Ordnance survey_F-201_B-NA_P-NA_Data Microfauna;;201;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-06-01-M_GB_Ordnance survey_F-201_B-NA_P-NA;F;B;P;;390;NULL;;
;;;NULL;Data Microfauna;1976-06-01-M_GB_Ordnance survey_F-202_B-NA_P-NA_Data Microfauna;;202;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-06-01-M_GB_Ordnance survey_F-202_B-NA_P-NA;F;B;P;;195;NULL;;
;;;NULL;Data Microfauna;1976-06-01-M_GB_Ordnance survey_F-203_B-NA_P-NA_Data Microfauna;;203;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-06-01-M_GB_Ordnance survey_F-203_B-NA_P-NA;F;B;P;;230;NULL;;
;;;NULL;Data Microfauna;1976-06-01-M_GB_Ordnance survey_F-204_B-NA_P-NA_Data Microfauna;;204;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-06-01-M_GB_Ordnance survey_F-204_B-NA_P-NA;F;B;P;;165;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-205_B-NA_P-NA_Data Microfauna;;205;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-205_B-NA_P-NA;F;B;P;;315;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-206_B-NA_P-NA_Data Microfauna;;206;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-206_B-NA_P-NA;F;B;P;;285;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-207_B-NA_P-NA_Data Microfauna;;207;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-207_B-NA_P-NA;F;B;P;;280;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-208_B-NA_P-NA_Data Microfauna;;208;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-208_B-NA_P-NA;F;B;P;;1550;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-209_B-NA_P-NA_Data Microfauna;;209;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-209_B-NA_P-NA;F;B;P;;395;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-210_B-NA_P-NA_Data Microfauna;;210;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-210_B-NA_P-NA;F;B;P;;415;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-211_B-NA_P-NA_Data Microfauna;;211;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-211_B-NA_P-NA;F;B;P;;455;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-212_B-NA_P-NA_Data Microfauna;;212;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-212_B-NA_P-NA;F;B;P;;460;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-213_B-NA_P-NA_Data Microfauna;;213;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-213_B-NA_P-NA;F;B;P;;875;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-214_B-NA_P-NA_Data Microfauna;;214;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-214_B-NA_P-NA;F;B;P;;35;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-215_B-NA_P-NA_Data Microfauna;;215;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-215_B-NA_P-NA;F;B;P;;60;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-216_B-NA_P-NA_Data Microfauna;;216;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-216_B-NA_P-NA;F;B;P;;230;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-217_B-NA_P-NA_Data Microfauna;;217;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-217_B-NA_P-NA;F;B;P;;385;NULL;;
;;;NULL;Data Microfauna;1976-08-01-M_GB_Ordnance survey_F-218_B-NA_P-NA_Data Microfauna;;218;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-08-01-M_GB_Ordnance survey_F-218_B-NA_P-NA;F;B;P;;335;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-219_B-NA_P-NA_Data Microfauna;;219;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-219_B-NA_P-NA;F;B;P;;45;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-220_B-NA_P-NA_Data Microfauna;;220;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-220_B-NA_P-NA;F;B;P;;490;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-221_B-NA_P-NA_Data Microfauna;;221;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-221_B-NA_P-NA;F;B;P;;510;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-222_B-NA_P-NA_Data Microfauna;;222;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-222_B-NA_P-NA;F;B;P;;245;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-223_B-NA_P-NA_Data Microfauna;;223;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-223_B-NA_P-NA;F;B;P;;220;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-224_B-NA_P-NA_Data Microfauna;;224;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-224_B-NA_P-NA;F;B;P;;550;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-225_B-NA_P-NA_Data Microfauna;;225;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-225_B-NA_P-NA;F;B;P;;60;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-226_B-NA_P-NA_Data Microfauna;;226;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-226_B-NA_P-NA;F;B;P;;390;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-227_B-NA_P-NA_Data Microfauna;;227;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-227_B-NA_P-NA;F;B;P;;60;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-228_B-NA_P-NA_Data Microfauna;;228;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-228_B-NA_P-NA;F;B;P;;120;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-229_B-NA_P-NA_Data Microfauna;;229;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-229_B-NA_P-NA;F;B;P;;280;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-230_B-NA_P-NA_Data Microfauna;;230;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-230_B-NA_P-NA;F;B;P;;105;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-231_B-NA_P-NA_Data Microfauna;;231;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-231_B-NA_P-NA;F;B;P;;95;NULL;;
;;;NULL;Data Microfauna;1976-09-01-M_GB_Ordnance survey_F-232_B-NA_P-NA_Data Microfauna;;232;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-09-01-M_GB_Ordnance survey_F-232_B-NA_P-NA;F;B;P;;355;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-233_B-NA_P-NA_Data Microfauna;;233;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-233_B-NA_P-NA;F;B;P;;45;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-234_B-NA_P-NA_Data Microfauna;;234;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-234_B-NA_P-NA;F;B;P;;455;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-235_B-NA_P-NA_Data Microfauna;;235;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-235_B-NA_P-NA;F;B;P;;215;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-236_B-NA_P-NA_Data Microfauna;;236;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-236_B-NA_P-NA;F;B;P;;280;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-237_B-NA_P-NA_Data Microfauna;;237;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-237_B-NA_P-NA;F;B;P;;130;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-238_B-NA_P-NA_Data Microfauna;;238;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-238_B-NA_P-NA;F;B;P;;550;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-239_B-NA_P-NA_Data Microfauna;;239;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-239_B-NA_P-NA;F;B;P;;45;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-240_B-NA_P-NA_Data Microfauna;;240;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-240_B-NA_P-NA;F;B;P;;345;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-241_B-NA_P-NA_Data Microfauna;;241;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-241_B-NA_P-NA;F;B;P;;280;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-242_B-NA_P-NA_Data Microfauna;;242;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-242_B-NA_P-NA;F;B;P;;390;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-243_B-NA_P-NA_Data Microfauna;;243;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-243_B-NA_P-NA;F;B;P;;305;NULL;;
;;;NULL;Data Microfauna;1976-10-01-M_GB_Ordnance survey_F-244_B-NA_P-NA_Data Microfauna;;244;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-10-01-M_GB_Ordnance survey_F-244_B-NA_P-NA;F;B;P;;305;NULL;;
;;;NULL;Data Microfauna;1976-11-01-M_GB_Ordnance survey_F-245_B-NA_P-NA_Data Microfauna;;245;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-11-01-M_GB_Ordnance survey_F-245_B-NA_P-NA;F;B;P;;415;NULL;;
;;;NULL;Data Microfauna;1976-11-01-M_GB_Ordnance survey_F-246_B-NA_P-NA_Data Microfauna;;246;NA;NA;;;;GB;;;ordnance_survey;M;;;1976-11-01-M_GB_Ordnance survey_F-246_B-NA_P-NA;F;B;P;;160;NULL;;
;;;NULL;Data Microfauna;1977-06-01-M_GB_Ordnance survey_F-247_B-NA_P-NA_Data Microfauna;;247;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-06-01-M_GB_Ordnance survey_F-247_B-NA_P-NA;F;B;P;;245;NULL;;
;;;NULL;Data Microfauna;1977-07-01-M_GB_Ordnance survey_F-248_B-NA_P-NA_Data Microfauna;;248;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-07-01-M_GB_Ordnance survey_F-248_B-NA_P-NA;F;B;P;;700;NULL;;
;;;NULL;Data Microfauna;1977-07-01-M_GB_Ordnance survey_F-249_B-NA_P-NA_Data Microfauna;;249;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-07-01-M_GB_Ordnance survey_F-249_B-NA_P-NA;F;B;P;;405;NULL;;
;;;NULL;Data Microfauna;1977-07-01-M_GB_Ordnance survey_F-250_B-NA_P-NA_Data Microfauna;;250;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-07-01-M_GB_Ordnance survey_F-250_B-NA_P-NA;F;B;P;;900;NULL;;
;;;NULL;Data Microfauna;1977-07-01-M_GB_Ordnance survey_F-251_B-NA_P-NA_Data Microfauna;;251;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-07-01-M_GB_Ordnance survey_F-251_B-NA_P-NA;F;B;P;;605;NULL;;
;;;NULL;Data Microfauna;1977-07-01-M_GB_Ordnance survey_F-252_B-NA_P-NA_Data Microfauna;;252;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-07-01-M_GB_Ordnance survey_F-252_B-NA_P-NA;F;B;P;;305;NULL;;
;;;NULL;Data Microfauna;1977-07-01-M_GB_Ordnance survey_F-253_B-NA_P-NA_Data Microfauna;;253;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-07-01-M_GB_Ordnance survey_F-253_B-NA_P-NA;F;B;P;;1575;NULL;;
;;;NULL;Data Microfauna;1977-07-01-M_GB_Ordnance survey_F-254_B-NA_P-NA_Data Microfauna;;254;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-07-01-M_GB_Ordnance survey_F-254_B-NA_P-NA;F;B;P;;160;NULL;;
;;;NULL;Data Microfauna;1977-10-01-M_GB_Ordnance survey_F-255_B-NA_P-NA_Data Microfauna;;255;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-10-01-M_GB_Ordnance survey_F-255_B-NA_P-NA;F;B;P;;245;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-256_B-NA_P-NA_Data Microfauna;;256;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-256_B-NA_P-NA;F;B;P;;255;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-257_B-NA_P-NA_Data Microfauna;;257;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-257_B-NA_P-NA;F;B;P;;195;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-258_B-NA_P-NA_Data Microfauna;;258;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-258_B-NA_P-NA;F;B;P;;210;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-259_B-NA_P-NA_Data Microfauna;;259;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-259_B-NA_P-NA;F;B;P;;50;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-260_B-NA_P-NA_Data Microfauna;;260;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-260_B-NA_P-NA;F;B;P;;230;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-261_B-NA_P-NA_Data Microfauna;;261;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-261_B-NA_P-NA;F;B;P;;355;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-262_B-NA_P-NA_Data Microfauna;;262;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-262_B-NA_P-NA;F;B;P;;340;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-263_B-NA_P-NA_Data Microfauna;;263;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-263_B-NA_P-NA;F;B;P;;245;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-264_B-NA_P-NA_Data Microfauna;;264;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-264_B-NA_P-NA;F;B;P;;55;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-265_B-NA_P-NA_Data Microfauna;;265;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-265_B-NA_P-NA;F;B;P;;30;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-266_B-NA_P-NA_Data Microfauna;;266;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-266_B-NA_P-NA;F;B;P;;155;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-267_B-NA_P-NA_Data Microfauna;;267;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-267_B-NA_P-NA;F;B;P;;95;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-268_B-NA_P-NA_Data Microfauna;;268;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-268_B-NA_P-NA;F;B;P;;195;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-269_B-NA_P-NA_Data Microfauna;;269;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-269_B-NA_P-NA;F;B;P;;155;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-270_B-NA_P-NA_Data Microfauna;;270;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-270_B-NA_P-NA;F;B;P;;210;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-271_B-NA_P-NA_Data Microfauna;;271;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-271_B-NA_P-NA;F;B;P;;110;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-272_B-NA_P-NA_Data Microfauna;;272;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-272_B-NA_P-NA;F;B;P;;270;NULL;;
;;;NULL;Data Microfauna;1977-08-01-M_GB_Ordnance survey_F-273_B-NA_P-NA_Data Microfauna;;273;NA;NA;;;;GB;;;ordnance_survey;M;;;1977-08-01-M_GB_Ordnance survey_F-273_B-NA_P-NA;F;B;P;;290;NULL;;
